Periodos,INPP_SCIAN2018
2001/08,31.91648205
2001/09,32.3459605
2001/10,33.67057715
2001/11,33.70091866
2001/12,33.54984584
2002/01,33.83713811
2002/02,33.89896371
2002/03,34.13433262
2002/04,33.91216671
2002/05,33.87484283
2002/06,34.17597286
2002/07,34.50338194
2002/08,34.81327165
2002/09,35.19527007
2002/10,36.20390332
2002/11,37.04508694
2002/12,37.02185474
2003/01,36.7204708
2003/02,37.22624738
2003/03,37.55149827
2003/04,36.57485692
2003/05,37.41451712
2003/06,37.33390263
2003/07,38.49982934
2003/08,40.78724959
2003/09,39.66905681
2003/10,40.82723945
2003/11,41.03709102
2003/12,39.63414502
2004/01,39.40426698
2004/02,39.48432795
2004/03,38.89417553
2004/04,38.92865724
2004/05,39.9246633
2004/06,40.39194987
2004/07,40.53027304
2004/08,40.98804741
2004/09,42.81121808
2004/10,42.87621808
2004/11,42.27298639
2004/12,41.03441936
2005/01,39.03963284
2005/02,38.71938895
2005/03,38.26042555
2005/04,38.03292556
2005/05,37.44951094
2005/06,38.64804749
2005/07,38.86127919
2005/08,38.6940231
2005/09,38.46295603
2005/10,38.65240725
2005/11,39.82478526
2005/12,39.25326088
2006/01,39.52277307
2006/02,39.46015112
2006/03,40.34716329
2006/04,41.74268153
2006/05,43.52621806
2006/06,43.75847415
2006/07,43.47469367
2006/08,43.31179733
2006/09,45.80319969
2006/10,47.77182767
2006/11,49.49749835
2006/12,51.9286568
2007/01,57.11716273
2007/02,60.96048577
2007/03,60.18286384
2007/04,59.51383948
2007/05,58.0176505
2007/06,57.98792489
2007/07,57.54758954
2007/08,57.6006993
2007/09,57.66569929
2007/10,58.97600413
2007/11,58.94865657
2007/12,56.86112615
2008/01,54.97652256
2008/02,54.4854555
2008/03,54.73633964
2008/04,56.58765055
2008/05,58.17856513
2008/06,60.34060774
2008/07,62.59618693
2008/08,65.44944903
2008/09,66.44149168
2008/10,68.58966234
2008/11,66.96149167
2008/12,66.50688802
2009/01,65.59569903
2009/02,63.81493689
2009/03,63.32307715
2009/04,65.18944904
2009/05,64.58344297
2009/06,64.84463198
2009/07,64.38923566
2009/08,63.79155275
2009/09,63.11896131
2009/10,63.40353447
2009/11,64.72097345
2009/12,64.30798566
2010/01,63.77886982
2010/02,63.73011982
2010/03,64.44789419
2010/04,63.66829056
2010/05,63.84188811
2010/06,63.35201008
2010/07,63.36429667
2010/08,63.93780274
2010/09,63.6849369
2010/10,62.86292473
2010/11,63.32466252
2010/12,64.57947955
2011/01,65.70944903
2011/02,73.09804634
2011/03,90.09990553
2011/04,91.31825915
2011/05,90.86484453
2011/06,92.89252739
2011/07,96.54639922
2011/08,97.40883821
2011/09,96.77627726
2011/10,100.2474357
2011/11,102.9064905
2011/12,101.6829844
2012/01,102.1918868
2012/02,103.5616429
2012/03,104.0396307
2012/04,103.0309417
2012/05,101.4566734
2012/06,100.4654235
2012/07,96.30780756
2012/08,96.38505439
2012/09,98.02295696
2012/10,97.60564513
2012/11,95.46924126
2012/12,93.97563457
2013/01,92.7943686
2013/02,91.07095315
2013/03,91.0870219
2013/04,90.12825564
2013/05,88.55210308
2013/06,85.52819702
2013/07,86.60486066
2013/08,87.98190163
2013/09,86.33397304
2013/10,87.06006086
2013/11,84.52461746
2013/12,83.00338544
2014/01,82.38371648
2014/02,81.60093395
2014/03,81.29261588
2014/04,81.25454937
2014/05,82.26756675
2014/06,82.97915143
2014/07,83.01792239
2014/08,83.22748295
2014/09,82.49507297
2014/10,82.70299598
2014/11,82.13170459
2014/12,80.70997873
2015/01,80.30750194
2015/02,80.76355514
2015/03,80.83731834
2015/04,80.56524514
2015/05,80.4708883
2015/06,80.56216271
2015/07,80.89811408
2015/08,81.46988554
2015/09,82.89731985
2015/10,86.05393352
2015/11,86.15237316
2015/12,85.90582694
2016/01,85.99821391
2016/02,86.99914137
2016/03,87.47399907
2016/04,89.08386791
2016/05,89.97218437
2016/06,90.24391328
2016/07,91.89612913
2016/08,92.91234838
2016/09,94.19406143
2016/10,94.65693386
2016/11,94.43297095
2016/12,93.75562826
2017/01,92.85551209
2017/02,93.19804318
2017/03,93.93292404
2017/04,94.41212424
2017/05,94.18787245
2017/06,94.25785614
2017/07,94.81248632
2017/08,94.54615736
2017/09,94.52983981
2017/10,93.96864566
2017/11,93.50668833
2017/12,93.33785725
2018/01,93.26275685
2018/02,93.49883292
2018/03,93.67946649
2018/04,93.92609604
2018/05,94.86616966
2018/06,94.94026855
2018/07,95.26386817
2018/08,95.80052044
2018/09,96.06971068
2018/10,96.39301142
2018/11,96.7508255
2018/12,97.02896006
2019/01,97.44636445
2019/02,97.85898947
2019/03,98.238164
2019/04,98.78125597
2019/05,99.13754254
2019/06,99.64156704
2019/07,100
2019/08,99.80475211
2019/09,101.5450528
2019/10,101.903496
2019/11,103.0076842
2019/12,103.6180348
2020/01,104.9011721
2020/02,105.1367284
2020/03,105.7433292
2020/04,107.5321749
2020/05,108.6728092
2020/06,109.0969319
2020/07,109.3115765
2020/08,109.5469457
2020/09,110.0152359
2020/10,110.3489822
2020/11,111.9364854
2020/12,113.4094144
2021/01,115.2678277
2021/02,117.537681
2021/03,120.9237689
2021/04,123.3840961
2021/05,126.9674459
2021/06,129.1767735
2021/07,132.481443
2021/08,133.7194417
2021/09,135.0474896
2021/10,135.8338235
2021/11,136.8502211
2021/12,139.8580184
2022/01,140.2663913
2022/02,141.6506749
2022/03,147.6457152
2022/04,149.9978394
2022/05,153.3235325
2022/06,155.4055007
2022/07,158.2811356
2022/08,160.6352606
2022/09,162.6031467
2022/10,166.1167523
2022/11,170.4756666
2022/12,172.1626936
2023/01,176.4843895
2023/02,185.9832504
2023/03,189.224245
2023/04,189.1796036
2023/05,189.6178404
2023/06,189.5914738
2023/07,187.8523903
2023/08,186.2454532
2023/09,187.2502766
2023/10,186.5076569
2023/11,185.5932851
2023/12,184.0985597
2024/01,185.2558566
2024/02,183.4749486
2024/03,185.8605012
2024/04,184.2677354
2024/05,183.3253088
2024/06,181.7565615
2024/07,182.3185073
2024/08,181.0923283
2024/09,185.4950281
2024/10,186.2851724
2024/11,183.9804271
2024/12,184.0878086
2025/01,183.9950897
2025/02,185.0331833
2025/03,187.2601079
2025/04,188.3086405
2025/05,187.4869091
2025/06,188.34443
2025/07,188.1026483
2025/08,186.7066369
2025/09,189.4264866
2025/10,188.4842527
