Fecha,"Salarios Mínimos, General, Pesos por día","Salarios Mínimos, Zona Libre de la Frontera Norte, Pesos por día"
01/04/2022,172.87,260.34
01/05/2022,172.87,260.34
01/06/2022,172.87,260.34
01/07/2022,172.87,260.34
01/08/2022,172.87,260.34
01/09/2022,172.87,260.34
01/10/2022,172.87,260.34
01/11/2022,172.87,260.34
01/12/2022,172.87,260.34
01/01/2023,207.44,312.41
01/02/2023,207.44,312.41
01/03/2023,207.44,312.41
01/04/2023,207.44,312.41
01/05/2023,207.44,312.41
01/06/2023,207.44,312.41
01/07/2023,207.44,312.41
01/08/2023,207.44,312.41
01/09/2023,207.44,312.41
01/10/2023,207.44,312.41
01/11/2023,207.44,312.41
01/12/2023,207.44,312.41
01/01/2024,248.93,374.89
01/02/2024,248.93,374.89
01/03/2024,248.93,374.89
01/04/2024,248.93,374.89
01/05/2024,248.93,374.89
01/06/2024,248.93,374.89
01/07/2024,248.93,374.89
01/08/2024,248.93,374.89
01/09/2024,248.93,374.89
01/10/2024,248.93,374.89
01/11/2024,248.93,374.89
01/12/2024,248.93,374.89
01/01/2025,278.8,419.88
01/02/2025,278.8,419.88
01/03/2025,278.8,419.88
01/04/2025,278.8,419.88
01/05/2025,278.8,419.88
01/06/2025,278.8,419.88
01/07/2025,278.8,419.88
01/08/2025,278.8,419.88
01/09/2025,278.8,419.88
01/10/2025,278.8,419.88
