Mes-Ano," Línea de Pobreza Extrema Rural por Ingresos
(Canasta alimentaria) "," Línea de Pobreza Extrema Urbana por Ingresos
(Canasta alimentaria) ","Línea de Pobreza Rural por Ingresos
(Canasta alimentaria más no alimentaria)","Línea de Pobreza Urbana por Ingresos
(Canasta alimentaria más no alimentaria)"
may-01,$463.29,$627.00,"$1,040.35","$1,642.59"
jun-01,$463.41,$628.62,"$1,042.38","$1,646.76"
jul-01,$461.34,$627.61,"$1,040.61","$1,644.68"
ago-01,$467.32,$633.33,"$1,048.71","$1,653.42"
sep-01,$470.06,$635.99,"$1,057.25","$1,666.91"
oct-01,$475.13,$640.66,"$1,063.73","$1,674.85"
nov-01,$477.16,$643.41,"$1,071.41","$1,688.16"
dic-01,$479.64,$646.93,"$1,075.72","$1,693.67"
ene-02,$485.12,$654.15,"$1,083.91","$1,705.82"
feb-02,$472.25,$643.42,"$1,078.78","$1,708.75"
mar-02,$472.74,$644.52,"$1,081.53","$1,714.87"
abr-02,$478.06,$649.64,"$1,087.64","$1,721.06"
may-02,$482.12,$653.57,"$1,087.56","$1,717.67"
jun-02,$486.24,$658.66,"$1,092.16","$1,724.02"
jul-02,$489.82,$662.79,"$1,095.65","$1,728.11"
ago-02,$489.69,$663.46,"$1,097.73","$1,732.44"
sep-02,$488.28,$662.41,"$1,101.26","$1,741.51"
oct-02,$488.10,$662.19,"$1,103.27","$1,746.79"
nov-02,$493.05,$667.65,"$1,115.21","$1,764.48"
dic-02,$505.07,$679.71,"$1,126.65","$1,775.79"
ene-03,$504.88,$681.29,"$1,128.66","$1,782.02"
feb-03,$501.43,$679.80,"$1,128.02","$1,784.74"
mar-03,$511.40,$690.72,"$1,140.33","$1,799.45"
abr-03,$505.47,$684.96,"$1,134.08","$1,793.17"
may-03,$506.44,$685.71,"$1,128.23","$1,781.32"
jun-03,$507.38,$687.14,"$1,129.52","$1,783.07"
jul-03,$511.72,$691.33,"$1,133.59","$1,786.70"
ago-03,$510.17,$690.36,"$1,134.69","$1,790.39"
sep-03,$514.42,$694.73,"$1,143.57","$1,803.42"
oct-03,$517.17,$697.49,"$1,148.56","$1,809.70"
nov-03,$523.12,$704.40,"$1,163.53","$1,831.48"
dic-03,$534.44,$716.69,"$1,175.35","$1,844.81"
ene-04,$533.96,$718.79,"$1,179.14","$1,851.56"
feb-04,$530.18,$716.62,"$1,179.41","$1,855.10"
mar-04,$531.18,$717.71,"$1,183.06","$1,859.99"
abr-04,$535.19,$721.99,"$1,188.14","$1,865.59"
may-04,$537.02,$723.77,"$1,183.91","$1,857.62"
jun-04,$530.96,$719.62,"$1,179.28","$1,856.33"
jul-04,$533.63,$723.18,"$1,182.79","$1,861.61"
ago-04,$544.08,$733.77,"$1,195.01","$1,875.56"
sep-04,$557.91,$749.09,"$1,213.21","$1,899.35"
oct-04,$574.40,$766.24,"$1,232.74","$1,921.60"
nov-04,$582.05,$774.81,"$1,249.83","$1,945.96"
dic-04,$576.81,$771.25,"$1,245.55","$1,944.10"
ene-05,$556.47,$753.34,"$1,227.78","$1,929.07"
feb-05,$553.55,$751.30,"$1,226.27","$1,928.19"
mar-05,$560.32,$757.95,"$1,235.15","$1,938.07"
abr-05,$578.86,$775.87,"$1,253.27","$1,954.96"
may-05,$589.48,$786.20,"$1,254.79","$1,949.58"
jun-05,$575.65,$774.35,"$1,242.34","$1,940.05"
jul-05,$580.37,$779.98,"$1,247.35","$1,946.83"
ago-05,$578.25,$778.91,"$1,246.87","$1,948.63"
sep-05,$578.39,$780.54,"$1,252.00","$1,959.15"
oct-05,$573.51,$776.32,"$1,250.99","$1,961.98"
nov-05,$566.96,$770.25,"$1,256.23","$1,976.66"
dic-05,$582.09,$785.46,"$1,273.71","$1,995.58"
ene-06,$594.29,$798.32,"$1,288.64","$2,013.21"
feb-06,$592.85,$796.75,"$1,288.49","$2,012.16"
mar-06,$582.06,$786.58,"$1,280.32","$2,005.54"
abr-06,$581.44,$786.25,"$1,280.22","$2,005.57"
may-06,$586.76,$792.17,"$1,274.91","$1,993.35"
jun-06,$581.15,$787.82,"$1,270.91","$1,991.14"
jul-06,$581.93,$789.72,"$1,272.83","$1,994.64"
ago-06,$592.90,$799.70,"$1,286.57","$2,008.11"
sep-06,$622.43,$826.06,"$1,319.54","$2,040.79"
oct-06,$632.02,$835.07,"$1,332.06","$2,054.39"
nov-06,$620.24,$825.21,"$1,331.38","$2,064.13"
dic-06,$635.41,$841.96,"$1,348.71","$2,084.10"
ene-07,$643.07,$850.98,"$1,358.83","$2,097.51"
feb-07,$640.21,$850.19,"$1,357.46","$2,098.62"
mar-07,$641.21,$852.51,"$1,360.80","$2,103.33"
abr-07,$645.04,$856.55,"$1,361.11","$2,101.22"
may-07,$626.43,$836.14,"$1,335.31","$2,068.87"
jun-07,$617.81,$828.78,"$1,327.99","$2,063.45"
jul-07,$625.61,$837.62,"$1,337.08","$2,074.08"
ago-07,$630.60,$843.38,"$1,344.48","$2,083.18"
sep-07,$646.43,$859.73,"$1,364.16","$2,106.85"
oct-07,$644.50,$859.46,"$1,368.46","$2,116.41"
nov-07,$648.14,$864.07,"$1,381.00","$2,131.21"
dic-07,$659.14,$876.96,"$1,394.41","$2,144.82"
ene-08,$659.31,$878.62,"$1,397.52","$2,153.11"
feb-08,$648.87,$869.36,"$1,389.69","$2,147.39"
mar-08,$659.18,$879.34,"$1,404.78","$2,163.77"
abr-08,$670.07,$890.53,"$1,413.31","$2,169.67"
may-08,$671.59,$893.33,"$1,408.77","$2,161.61"
jun-08,$674.10,$897.75,"$1,414.41","$2,173.11"
jul-08,$683.61,$908.00,"$1,427.62","$2,189.23"
ago-08,$688.76,$915.37,"$1,440.36","$2,206.51"
sep-08,$695.31,$923.95,"$1,455.75","$2,228.23"
oct-08,$701.15,$930.46,"$1,469.70","$2,247.33"
nov-08,$715.52,$946.32,"$1,495.80","$2,280.72"
dic-08,$728.87,$960.48,"$1,510.64","$2,293.81"
ene-09,$723.94,$958.15,"$1,509.99","$2,295.64"
feb-09,$718.40,$954.09,"$1,509.06","$2,296.92"
mar-09,$731.17,$967.28,"$1,524.65","$2,312.89"
abr-09,$746.60,$981.53,"$1,538.30","$2,325.75"
may-09,$747.71,$983.09,"$1,531.67","$2,310.58"
jun-09,$747.77,$984.01,"$1,532.87","$2,312.45"
jul-09,$749.58,$987.17,"$1,536.17","$2,315.23"
ago-09,$754.50,$993.51,"$1,545.81","$2,322.93"
sep-09,$770.29,"$1,009.10","$1,564.95","$2,343.01"
oct-09,$762.70,"$1,001.90","$1,563.76","$2,349.68"
nov-09,$756.70,$996.18,"$1,568.36","$2,358.55"
dic-09,$757.90,$998.64,"$1,571.53","$2,361.35"
ene-10,$769.35,"$1,013.69","$1,591.58","$2,399.02"
feb-10,$773.85,"$1,020.37","$1,602.41","$2,417.01"
